Step	Chain	Shake	Chi	Rama	Excluded	DSSP	P_AP	Water	Burial	Helix	AMH-Go	Frag_Mem	SSB	VTotal
0 	22.464974	0.000000	49.821675	-407.063260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3205.572156	0.000000	0.000000	-3540.348767
1000 	43.812420	0.000000	20.753952	-537.844227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-3117.321461	0.000000	0.000000	-3590.599315
2000 	55.517574	0.000000	15.596997	-537.811930	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2761.794272	0.000000	0.000000	-3228.491630
3000 	83.044819	0.000000	20.875806	-521.732257	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2949.327868	0.000000	0.000000	-3367.139500
4000 	109.545659	0.000000	24.956798	-518.107320	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2516.171923	0.000000	0.000000	-2899.776786
5000 	204.447368	0.000000	25.399211	-515.381096	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2450.377667	0.000000	0.000000	-2735.912183
6000 	97.813214	0.000000	24.385427	-477.229263	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2442.890548	0.000000	0.000000	-2797.921171
7000 	69.005705	0.000000	26.603986	-468.969993	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1907.267632	0.000000	0.000000	-2280.627934
8000 	63.042045	0.000000	27.535968	-476.824680	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1695.040543	0.000000	0.000000	-2081.287210
9000 	57.485541	0.000000	16.692542	-495.268359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1565.571424	0.000000	0.000000	-1986.661701
10000 	61.688837	0.000000	16.523029	-499.200317	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1768.097013	0.000000	0.000000	-2189.085465
11000 	74.371131	0.000000	18.022879	-504.771897	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1813.347556	0.000000	0.000000	-2225.725443
12000 	98.241527	0.000000	12.857653	-467.685933	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1878.222136	0.000000	0.000000	-2234.808888
13000 	164.139518	0.000000	20.468176	-433.826407	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-2011.821828	0.000000	0.000000	-2261.040541
14000 	124.287161	0.000000	14.615145	-420.448150	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1333.798319	0.000000	0.000000	-1615.344163
15000 	145.703661	0.000000	17.452138	-403.561177	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-1354.028820	0.000000	0.000000	-1594.434199
