Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
0 	34.050354	0.000000	7.874719	-258.261919	0.000000	-0.000000	-1.269805	-15.753262	-53.082703	-22.677682	0.000000	-339.061858	0.000000	0.000000	0.000000	0.000000	-648.182155
2000 	45.300084	0.000000	14.872603	-268.478708	0.000000	-0.000085	-1.917921	-16.934615	-53.116684	-23.540812	0.000000	-198.153039	0.000000	0.000000	0.000000	0.000000	-501.969176
4000 	41.585442	0.000000	9.309912	-269.972050	0.000000	-0.000000	-1.781807	-18.759553	-53.874670	-22.901129	0.000000	-218.304213	0.000000	0.000000	0.000000	0.000000	-534.698067
6000 	51.105702	0.000000	14.221555	-269.160277	0.000000	-0.000000	-1.440686	-18.168977	-52.960200	-22.482131	0.000000	-204.471536	0.000000	0.000000	0.000000	0.000000	-503.356550
8000 	42.313907	0.000000	11.499622	-268.633427	0.000000	-0.000000	-1.235525	-16.659799	-53.510881	-21.708501	0.000000	-214.987844	0.000000	0.000000	0.000000	0.000000	-522.922448
10000 	44.140017	0.000000	12.161775	-269.366514	0.000000	-0.000008	-2.300690	-16.221974	-53.160267	-22.057523	0.000000	-199.854116	0.000000	0.000000	0.000000	0.000000	-506.659300
12000 	44.068391	0.000000	11.716048	-262.149113	0.000000	-0.000000	-2.648588	-17.787568	-53.353164	-23.157829	0.000000	-204.766780	0.000000	0.000000	0.000000	0.000000	-508.078605
14000 	41.653009	0.000000	12.372181	-268.695130	0.000000	-0.000000	-1.710328	-16.740595	-53.276595	-22.076856	0.000000	-188.608829	0.000000	0.000000	0.000000	0.000000	-497.083141
16000 	43.911963	0.000000	13.123651	-266.708914	0.000000	-0.000000	-1.664642	-17.929121	-53.303132	-23.592633	0.000000	-189.329066	0.000000	0.000000	0.000000	0.000000	-495.491894
18000 	49.250900	0.000000	15.635108	-262.563291	0.000000	-0.000003	-1.806657	-16.479822	-52.917685	-22.043301	0.000000	-200.792877	0.000000	0.000000	0.000000	0.000000	-491.717629
20000 	46.179788	0.000000	10.577615	-263.848431	0.000000	-0.000000	-1.861916	-16.454862	-53.395178	-20.308423	0.000000	-216.027373	0.000000	0.000000	0.000000	0.000000	-515.138780
22000 	49.552941	0.000000	15.922656	-268.436622	0.000000	-0.000000	-1.101291	-17.628957	-53.223301	-22.254599	0.000000	-181.719644	0.000000	0.000000	0.000000	0.000000	-478.888816
24000 	48.946509	0.000000	16.874163	-263.944637	0.000000	-0.000000	-1.744661	-15.193250	-53.496072	-20.910220	0.000000	-216.570318	0.000000	0.000000	0.000000	0.000000	-506.038486
26000 	46.196989	0.000000	15.614560	-261.133186	0.000000	-0.000000	-1.650618	-15.553613	-54.574853	-22.546881	0.000000	-194.098583	0.000000	0.000000	0.000000	0.000000	-487.746186
28000 	42.408770	0.000000	10.717809	-265.821119	0.000000	-0.000001	-1.810175	-19.615562	-52.040184	-20.843308	0.000000	-214.540848	0.000000	0.000000	0.000000	0.000000	-521.544618
30000 	42.272450	0.000000	12.259664	-263.112471	0.000000	-0.000000	-2.384345	-17.378594	-53.112626	-22.366447	0.000000	-197.201819	0.000000	0.000000	0.000000	0.000000	-501.024188
32000 	44.188706	0.000000	14.059360	-261.033561	0.000000	-0.000000	-1.493927	-18.206904	-54.754003	-22.996213	0.000000	-161.325729	0.000000	0.000000	0.000000	0.000000	-461.562271
34000 	45.977627	0.000000	11.124954	-266.057107	0.000000	-0.000000	-2.929882	-17.683782	-53.628986	-22.459732	0.000000	-200.228991	0.000000	0.000000	0.000000	0.000000	-505.885900
36000 	50.169895	0.000000	14.104534	-263.636802	0.000000	-0.000000	-1.028453	-17.255959	-52.419250	-23.260503	0.000000	-215.866414	0.000000	0.000000	0.000000	0.000000	-509.192952
38000 	52.876363	0.000000	11.651308	-268.787824	0.000000	-0.000000	-1.863682	-18.732379	-52.678372	-21.196478	0.000000	-198.240053	0.000000	0.000000	0.000000	0.000000	-496.971118
40000 	43.920118	0.000000	12.084678	-263.172042	0.000000	-0.000000	-2.415893	-17.048025	-53.842177	-23.093899	0.000000	-206.578055	0.000000	0.000000	0.000000	0.000000	-510.145294
42000 	53.034242	0.000000	11.611102	-260.090964	0.000000	-0.000000	-2.638299	-18.995803	-54.315966	-23.492531	0.000000	-194.984927	0.000000	0.000000	0.000000	0.000000	-489.873146
44000 	36.742064	0.000000	13.411833	-268.561921	0.000000	-0.000000	-3.068480	-18.280410	-53.558394	-21.597413	0.000000	-198.170883	0.000000	0.000000	0.000000	0.000000	-513.083604
46000 	47.079497	0.000000	13.440364	-264.525141	0.000000	-0.000002	-1.908896	-18.520582	-54.184504	-22.089946	0.000000	-206.079734	0.000000	0.000000	0.000000	0.000000	-506.788944
48000 	48.203875	0.000000	15.403841	-257.636617	0.000000	-0.000000	-2.079875	-17.736816	-54.230727	-20.244809	0.000000	-198.860773	0.000000	0.000000	0.000000	0.000000	-487.181901
50000 	36.919855	0.000000	7.935218	-266.728056	0.000000	-0.000000	-1.353358	-17.352979	-53.058544	-22.581887	0.000000	-220.776314	0.000000	0.000000	0.000000	0.000000	-536.996067
52000 	45.501379	0.000000	13.321663	-267.466800	0.000000	-0.000000	-1.464036	-18.467287	-53.515882	-21.275810	0.000000	-193.682869	0.000000	0.000000	0.000000	0.000000	-497.049643
54000 	42.551525	0.000000	12.785373	-268.281232	0.000000	-0.000000	-1.252155	-15.675876	-53.987053	-22.091344	0.000000	-215.965836	0.000000	0.000000	0.000000	0.000000	-521.916598
